Package,LibPath,Version,Priority,Built
abind,C:/Users/Mike/Documents/R-3.3.3/library,1.4-5,NA,3.3.2
acepack,C:/Users/Mike/Documents/R-3.3.3/library,1.4.1,NA,3.3.3
affy,C:/Users/Mike/Documents/R-3.3.3/library,1.52.0,NA,3.3.1
affyio,C:/Users/Mike/Documents/R-3.3.3/library,1.44.0,NA,3.3.1
annotate,C:/Users/Mike/Documents/R-3.3.3/library,1.52.1,NA,3.3.2
AnnotationDbi,C:/Users/Mike/Documents/R-3.3.3/library,1.36.2,NA,3.3.2
arm,C:/Users/Mike/Documents/R-3.3.3/library,1.9-3,NA,3.3.3
assertthat,C:/Users/Mike/Documents/R-3.3.3/library,0.2.0,NA,3.3.3
backports,C:/Users/Mike/Documents/R-3.3.3/library,1.1.2,NA,3.3.3
base,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
base64enc,C:/Users/Mike/Documents/R-3.3.3/library,0.1-3,NA,3.3.2
BH,C:/Users/Mike/Documents/R-3.3.3/library,1.65.0-1,NA,3.3.3
bindr,C:/Users/Mike/Documents/R-3.3.3/library,0.1.1,NA,3.4.4
bindrcpp,C:/Users/Mike/Documents/R-3.3.3/library,0.2.2,NA,3.4.4
Biobase,C:/Users/Mike/Documents/R-3.3.3/library,2.34.0,NA,3.3.1
BiocGenerics,C:/Users/Mike/Documents/R-3.3.3/library,0.20.0,NA,3.3.1
BiocInstaller,C:/Users/Mike/Documents/R-3.3.3/library,1.24.0,NA,3.3.1
Biostrings,C:/Users/Mike/Documents/R-3.3.3/library,2.42.1,NA,3.3.2
bit,C:/Users/Mike/Documents/R-3.3.3/library,1.1-14,NA,3.4.4
bit64,C:/Users/Mike/Documents/R-3.3.3/library,0.9-7,NA,3.4.4
bitops,C:/Users/Mike/Documents/R-3.3.3/library,1.0-6,NA,3.3.2
blme,C:/Users/Mike/Documents/R-3.3.3/library,1.0-4,NA,3.3.3
blogdown,C:/Users/Mike/Documents/R-3.3.3/library,0.5,NA,3.4.3
bookdown,C:/Users/Mike/Documents/R-3.3.3/library,0.6,NA,3.3.3
boot,C:/Users/Mike/Documents/R-3.3.3/library,1.3-19,recommended,3.3.3
broom,C:/Users/Mike/Documents/R-3.3.3/library,0.4.2,NA,3.3.3
calibrate,C:/Users/Mike/Documents/R-3.3.3/library,1.7.2,NA,3.3.3
car,C:/Users/Mike/Documents/R-3.3.3/library,2.1-5,NA,3.3.3
caTools,C:/Users/Mike/Documents/R-3.3.3/library,1.17.1,NA,3.3.3
cellranger,C:/Users/Mike/Documents/R-3.3.3/library,1.1.0,NA,3.3.3
checkmate,C:/Users/Mike/Documents/R-3.3.3/library,1.8.2,NA,3.3.3
chron,C:/Users/Mike/Documents/R-3.3.3/library,2.3-51,NA,3.3.3
class,C:/Users/Mike/Documents/R-3.3.3/library,7.3-14,recommended,3.3.3
classInt,C:/Users/Mike/Documents/R-3.3.3/library,0.2-3,NA,3.4.4
cli,C:/Users/Mike/Documents/R-3.3.3/library,1.0.0,NA,3.3.3
clipr,C:/Users/Mike/Documents/R-3.3.3/library,0.5.0,NA,3.4.4
clisymbols,C:/Users/Mike/Documents/R-3.3.3/library,1.2.0,NA,3.4.4
cluster,C:/Users/Mike/Documents/R-3.3.3/library,2.0.6,recommended,3.3.3
coda,C:/Users/Mike/Documents/R-3.3.3/library,0.19-1,NA,3.3.3
codetools,C:/Users/Mike/Documents/R-3.3.3/library,0.2-15,recommended,3.3.3
coin,C:/Users/Mike/Documents/R-3.3.3/library,1.2-1,NA,3.3.3
colorspace,C:/Users/Mike/Documents/R-3.3.3/library,1.3-2,NA,3.3.3
compiler,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
corrplot,C:/Users/Mike/Documents/R-3.3.3/library,0.84,NA,3.3.3
covr,C:/Users/Mike/Documents/R-3.3.3/library,3.1.0,NA,3.4.4
cranlogs,C:/Users/Mike/Documents/R-3.3.3/library,2.1.0,NA,3.3.3
crayon,C:/Users/Mike/Documents/R-3.3.3/library,1.3.4,NA,3.3.3
crosstalk,C:/Users/Mike/Documents/R-3.3.3/library,1.0.0,NA,3.3.3
curl,C:/Users/Mike/Documents/R-3.3.3/library,3.1,NA,3.3.3
data.table,C:/Users/Mike/Documents/R-3.3.3/library,1.11.4,NA,3.4.4
datasets,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
DBI,C:/Users/Mike/Documents/R-3.3.3/library,1.0.0,NA,3.4.4
desc,C:/Users/Mike/Documents/R-3.3.3/library,1.2.0,NA,3.4.4
devtools,C:/Users/Mike/Documents/R-3.3.3/library,1.13.0,NA,3.3.3
dichromat,C:/Users/Mike/Documents/R-3.3.3/library,2.0-0,NA,3.3.2
digest,C:/Users/Mike/Documents/R-3.3.3/library,0.6.15,NA,3.3.3
dplyr,C:/Users/Mike/Documents/R-3.3.3/library,0.7.6,NA,3.4.4
DT,C:/Users/Mike/Documents/R-3.3.3/library,0.4,NA,3.3.3
dygraphs,C:/Users/Mike/Documents/R-3.3.3/library,1.1.1.4,NA,3.4.4
e1071,C:/Users/Mike/Documents/R-3.3.3/library,1.6-8,NA,3.4.4
effects,C:/Users/Mike/Documents/R-3.3.3/library,3.1-2,NA,3.3.3
evaluate,C:/Users/Mike/Documents/R-3.3.3/library,0.10.1,NA,3.3.3
extrafont,C:/Users/Mike/Documents/R-3.3.3/library,0.17,NA,3.4.3
extrafontdb,C:/Users/Mike/Documents/R-3.3.3/library,1.0,NA,3.4.1
